state,pop
Georgia,10297484.0
West Virginia,1829054.0
New Jersey,8881845.0
Colorado,5531141.0
Nevada,2922849.0
Oregon,4081943.0
Tennessee,6651089.0
District of Columbia,684498.0
Nebraska,1904760.0
Delaware,949495.0
Alaska,736384.0
Iowa,3132499.0
Montana,1041732.0
South Carolina,4955925.0
Connecticut,3581504.0
Kansas,2908776.0
Hawaii,1421954.0
Maryland,6003435.0
Rhode Island,1056611.0
Maine,1332813.0
Washington,7294336.0
Mississippi,2988762.0
North Carolina,10155624.0
Virginia,8413774.0
Wisconsin,5778394.0
Oklahoma,3918137.0
Indiana,6637426.0
Puerto Rico,3386941.0
New Mexico,2092434.0
Kentucky,4440204.0
Texas,27885195.0
Vermont,624977.0
Michigan,9957488.0
New Hampshire,1343622.0
Massachusetts,6801779.0
Ohio,11641879.0
California,39148760.0
Arkansas,2990671.0
Idaho,1687809.0
Pennsylvania,12791181.0
Missouri,6090062.0
