state,pop
Ohio,11641879.0
Vermont,624977.0
Missouri,6090062.0
Arkansas,2990671.0
Tennessee,6651089.0
South Dakota,864289.0
New Jersey,8881845.0
Hawaii,1421954.0
Nevada,2922849.0
North Dakota,752201.0
Maryland,6003435.0
Virginia,8413774.0
Delaware,949495.0
Michigan,9957488.0
Florida,20598139.0
Idaho,1687809.0
Minnesota,5527358.0
Washington,7294336.0
Alabama,4864680.0
Puerto Rico,3386941.0
Louisiana,4663616.0
Kansas,2908776.0
Colorado,5531141.0
Georgia,10297484.0
Massachusetts,6801779.0
District of Columbia,684498.0
New Mexico,2092434.0
Pennsylvania,12791181.0
New York,19618453.0
Rhode Island,1056611.0
Mississippi,2988762.0
