state,pop
New Mexico,2092434.0
New Jersey,8881845.0
Tennessee,6651089.0
Alaska,736384.0
Washington,7294336.0
Pennsylvania,12791181.0
Hawaii,1421954.0
Arizona,6946685.0
Oregon,4081943.0
Louisiana,4663616.0
Georgia,10297484.0
Iowa,3132499.0
Maryland,6003435.0
Connecticut,3581504.0
Idaho,1687809.0
Ohio,11641879.0
Mississippi,2988762.0
New Hampshire,1343622.0
South Carolina,4955925.0
Wisconsin,5778394.0
Wyoming,581836.0
Texas,27885195.0
Minnesota,5527358.0
West Virginia,1829054.0
Alabama,4864680.0
Missouri,6090062.0
Virginia,8413774.0
